report_id,file_name,company_name_english,company_name_original,year_of_report,industry_sector,main_business_summary,ownership_type,size_proxy,reporting_standard_mentions,ESG_structure_present,quantitative_data_richness,overall_text_quality,notes
CN011,China Development Bank Financial Leasing.pdf,limited company incorporated in the People’s Republic of China) 股份代號 Stock Code: 1606 ( 於中華人民共和國註冊成立的股份有限公司) 環境、社會及管治報告,股份代號,2024,Financial Services,"FOCUSING ON GREEN FINANCE AND CREATING A NEW MODEL OF GREEN LEASING 19 4.1 DRIVING THE GREEN TRANSFORMATION AND UPGRADING OF TRADITIONAL INDUSTRIES 19 4.2 BOOSTING THE INNOVATION OF CLEAN ENERGY BUSINESS 20 4.3 PRACTICING THE OPERATIONAL CONCEPT OF GREEN SHIP 21 Topic: Leading the sustainable development of green aviation industry 23 Topic: Support the high-quality development of the photovoltaic industry 26 5. Environmental, Social and Governance Report 2024 02 OVERVIEW OF THE REPORT This Environmental, Social and Governance Report (the “Report”) is aimed at systematically explaining to readers the environmental, social and governance (“ESG”) performance of China Development Bank Financial Leasing Co., Ltd.",state-owned,not stated,TCFD,yes,3,3,
CN012,China Merchant Bank 2024.pdf,"China Merchants Bank Co., Ltd.",not stated,2024,Financial Services,not stated,not stated,"323,400 employees (p13)",GRI,yes,2,3,
CN013,China Merchants Port Holdings Company.pdf,China Merchants Port Holdings Company,not stated,not stated,Financial Services,not stated,not stated,not stated,GRI,yes,3,3,
CN014,China Shenhua Energy 2024.pdf,China Shenhua Energy,not stated,2024,Energy & Utilities,not stated,state-owned,"83,000 employees (p10)",GRI,yes,3,3,
CN015,China State Construction 2024.pdf,China State Construction,not stated,2024,Construction & Infrastructure,"Expanding a Happy Living Environment Sustainability Report Stock Code: 601668.SH Environmental Social Governance This report is made of imported high-grade specialized environmentally-friendly paper. The additive components used in the paint do not contain heavy metals, dioxins, formaldehyde, or other carcinogenic substances, and is recyclable and decomposable.",state-owned,not stated,not stated,yes,3,3,
CN016,China Three Gorges 2024.pdf,China Three Gorges,not stated,2024,Energy & Utilities,not stated,not stated,not stated,not stated,no,0,0,Text extraction limited / likely image-based
CN017,CHINT Group 2024.pdf,able Development of CHINT Materiality Assessment Corporate ESG Governance Arrangements 01 02 03 05 13 17 CHINT 01 CHINT,not stated,2024,Renewables & Clean Tech,"CHINT holds a firm belief that corporate success is inextricably linked to the well-being of both the environment and society. and its subsidiaries, which is consistent with the coverage of the consolidated financial statements in the 2024 annual financial report of the Company.",not stated,not stated,GRI; ISSB; SDGs,yes,2,3,
CN018,CITIC 2024.pdf,CITIC,not stated,2024,Conglomerate,"Strategy and Culture ESG Management Feature: Promoting Global Cooperation in ESG for Win-Win Development 02 03 03 03 03 04 06 06 08 About this Report Board Statement Scope and Period of the Report Basis of Report Preparation Reporting Principles About CITIC Limited Improving Corporate Governance According to the Law Integrity and Compliance-based Operations Strengthening Comprehensive Risk Management Enhancing Intellectual Property Management Strengthening Supplier Management Feature: Maintaining Integrity and Building an Integrity-based Culture 12 18 26 29 30 32 Improving Corporate Governance Efficiency and Ensuring Compliance and Robustness in Operations Practising the Green Development Concept to Build a Clean and Beautiful World Strengthening Dual Carbon Management Green and Low-carbon Operations Promoting Environmental Governance Pursuing Further Development in Green Finance Addressing Climate Change Feature: CITIC's biodiversity conservation plan in action 36 40 45 48 52 54 Strategy and Management 06 CONTENTS 58 61 62 63 70 74 76 80 87 Empowering Rural Revitalisation Coordinating Efforts to Resolve Risks and Ensure the Delivery of Housing Projects Providing Inclusive Financial Services Strengthen Human Resources Management Protecting the Rights and Interests of Customers Improving Returns to Shareholders Enhancing the Comprehensive Service Quality Jointly Building a Harmonious Community Feature: Strictly Protecting Customers' Rights and Interests Fulfilling Corporate Social Responsibilities and Contributing to the People's Well-being 106 106 120 125 134 Appendix Compilation of Key ESG Performance Independent Assurance Report Content Index Reader's Feedback Breakthroughs in Technological Innovation Advancing Digital CITIC Development Feature: Proactive Advancement of ""Financial Core"" and ""Industrial Starlink"" Initiatives Driving High-Quality Economic Development through Technological Innovation 92 98 104",state-owned,not stated,GRI,yes,3,3,
CN019,CMOC 2024.pdf,CMOC,not stated,2024,Mining & Metals,not stated,not stated,not stated,not stated,no,0,0,Text extraction limited / likely image-based
CN020,CNGR 2024.pdf,CNGR,not stated,2024,Renewables & Clean Tech,not stated,not stated,"276
Employees (p24)",not stated,yes,3,3,
CN021,COSCO Shipping 2024.pdf,COSCO Shipping,not stated,2024,Transportation & Logistics,not stated,state-owned,not stated,GRI,yes,3,3,
CN022,CRRC 2024.pdf,CRRC,not stated,2024,Other / Not classified,"Environmental, Social and Governance (ESG) Report CRRC Corporation Limited About the Report The Report is the 2024 Environmental, Social and Governance (ESG) Report released by CRRC Corporation Limited (hereafter referred to as ""CRRC"", ""we"" or ""the Company"") to the public. The Report is intended for all stakeholders of CRRC and is released on the principles of importance, quantifiability, balance, and consistency.",state-owned,"150,000 employees (p5)",GRI; ISSB; SDGs,yes,3,3,
CN023,CYPC 2023.pdf,Stock code: 600900.SH,not stated,2023,Other / Not classified,"Environmental, Social and Governance report 2023 This Report is printed on environmentally friendly paper China Yangtze Power Co., Ltd. About This report Basis for preparation This report is prepared according to the requirements of the Measures for the Administration of the Law-based Disclosure of Environmental Information by Enterprises issued by the Ministry of Ecology and Environment of the People’s Republic of China, the Code of Corporate Governance for Listed Companies issued by the China Securities Regulatory Commission (CSRC), the Guidelines No.",not stated,operating revenue of RMB 78.112 (p5),GRI; SDGs,yes,3,3,
CN024,ENN Natural Gas Co 2024.pdf,ENN Natural Gas Co,not stated,2024,Energy & Utilities,"Contents About This Report Message from the Chairman About ENN-NG ENN-NG Leads Energy Conservation and Carbon Reduction Across the Entire Industrial Chain ESG Governance System 04 06 08 10 12 Report on Progress of Following the UN Global Compact Principles Report Indicator Index ESG Performance Indicators ENN-NG ESG System Independent Audit Declaration Feedback on ENN-NG's ESG Report 124 125 126 131 134 136 Corporate Governance Double Materiality Risk Management Business Ethics and Anti-Corruption Asset Integrity Management Information Security & Privacy Protection 20 26 30 36 39 40 Excellent Governance: Achieving Long-Term Value Creation 01 Response to Climate Change Environmental Protection Resource Utilization Green Operations Biodiversity Conservation Green Development of Industrial Chain 92 104 108 112 114 118 Green Development: Co-Creating an Intelligent Low-carbon Framework 04 Talent Development Sustainable Supply Chain Management Customer Service Social Development 46 58 64 69 Self-driven Altruism: Creating a Diverse and Harmonious Ecosystem 02 Safety Capability Building Occupational Health and Safety 76 87 Safe Energy Supply: Laying the Foundation for Social Development 03 About This Report 4 5 This report is the 2024 Environmental, Social and Governance Report (hereinafter referred to as the ""ESG Report"" or ""this report"" for short) released by ENN Natural Gas Co., Ltd. This report has been reviewed by the Company's Board of Directors, which is responsible for the authenticity and validity of the information contained herein.",not stated,120 employees (p27),GRI; UNGC,yes,3,3,
CN025,Esquel 2024.pdf,1 ESQUEL,not stated,2024,Consumer Goods,"1 ESQUEL SUSTAINABILITY REPORT 2024 2 About the Report Message from the Chairman About Esquel Group Corporate Governance Stakeholder Engagement Planet People Product Community Pioneering Sustainable Well-being GRI Content Index 3 4 6 12 14 17 27 40 45 50 58 Contents 3 Esquel Group (“Esquel” or the “Group” or “we” or “our” or “us”) proudly presents our Sustainability Report 2024 (the “Report”), which provides an overview of Esquel’s sustainability strategy, impacts and performance during 1st January to 31st December 2024 (the “Reporting Period”). This report is prepared with reference to the Global Reporting Initiative (“GRI”) Standards to provide readers with information and data that are comparable across future sustainability reports.",not stated,not stated,GRI,yes,3,3,
CN026,Fosun 2024.pdf,rds Index 183 ESG Reporting Guide Index 189 Readers Feedback Form 192 Assurance Statement 193 About This Report 003 004,not stated,2024,Transportation & Logistics,"001 002 Content About This Report 003 Chairman's Statement 005 Board Statement 007 An Introduction to Fosun 009 2024 Key Performance Highlights 013 Campaign: Create a Sustainable Impact 015 Responsible Operation 4.1 Lean Industrial Space 083 4.2 Upgraded Customer 089 Experience 4.3 Enhanced Responsible 096 Investment 4.4 Responsible Supply Chain 101 Management Approach to Sustainability Work 1.1 Stakeholder Engagement 031 1.2 Materiality Assessment 038 1.3 Goals and Performance 041 Advanced Governance 2.1 Corporate Governance 047 2.2 ESG Governance 049 2.3 Risk Management 052 2.4 Business Ethics 060 Technology Innovation-Driven 3.1 Sustainable Innovation 067 3.2 Exploration of Clean 075 Technology 3.3 Protection of Intellectual 079 Property People and Partner Oriented 5.1 Talent Development 113 Strategy 5.2 A Diverse and Equal 124 Working Environment 5.3 Employee Satisfaction 131 Ecosystem 5.4 Safeguarding Safety and 134 Health Green Development 6.1 Enhancing Management 139 Systems 6.2 Environmental Compliance 143 and Clean Production 6.3 Climate Change and 146 Energy 6.4 Water Resource and 147 Material Management 6.5 Biodiversity and Animal 150 Welfare Business for Good 7.1 Philanthropy for A 155 Better Life 7.2 Health Care 159 7.3 Community 166 Co-development 7.4 Care for Children 168 and Youth 7.5 Emergency Relief 172 7.6 Culture & Art 173 Key Performance 175 Indicators Glossary 181 GRI Standards Index 183 ESG Reporting Guide Index 189 Readers Feedback Form 192 Assurance Statement 193 About This Report 003 004 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT 2024 Reporting Period The Report is the ninth annual ESG Report released by the Company. In accordance with the relevant definition regarding the significant member company in the Listing Rules and the principle of above 2/3 accumulated equity attributable to owners of the parent of the Group, we selected 6 subsidiaries besides the Company to be included in the reporting scope as principal ESG KPIs in this Report in all ESG aspects; part of the description is beyond the above-stated reporting scope.",not stated,"3,000 employees (p20)",GRI,yes,3,3,
CN027,Foxconn Industrial Internet 2024.pdf,Foxconn Industrial Internet,not stated,2024,Manufacturing & Electronics,"Promoting Circular Growth with Low-Carbon and Green Practices Addressing climate change 083 Key quantitative performance indicators 180 001 003 Message from the Chairman of the Sustainable Development Committee 005 About Fii Sustainable development management 015 Fii’s response to UN SDGs 024 Risk and opportunity management 035 Business ethics 041 Information security management 049 Tax strategy 057 079 Excellent service Green-Eco products 066 Product quality and safety 074 Innovation management 076 Digital and intelligent transformation 078 094 Environmental management system Energy management 098 Water resources management 105 Waste and pollutant management 110 Ensuring chemical safety 114 Ecosystems and biodiversity 119 Controversial sourcing 130 Green supply chain 133 Ethical procurement 135 Inclusion, equity and diversity 148 Employee training and development 151 Talent attraction and retention 157 Occupational health and safety 165 Advancing together with the industry 175 Contribution to rural revitalization 176 Participation in community co- construction 177 185 GRI Content Index 192 Shanghai Stock Exchange’s Sustainability Report Guidelines 193 ISO 14064 Carbon Emissions Verification Statement Independent Third-Party Assurance Statement Reader Feedback 195 194 Building a Responsible Supply Chain for Shared Prosperity Creating Shared Value and Fostering a Harmonious Society Promoting Circular Growth with Low-Carbon and Green Practices Innovating Through Technology to Advance a Green Future Upholding Integrity to Drive Sound and Sustainable Operations Foreword Contents 002 About this Report This report is the 2024 Sustainability Report (hereinafter referred to as “this Report” or “Sustainability Report”), issued by Foxconn Industrial Internet Co., Ltd. The financial information in this Report is calculated in RMB.",not stated,"148
Employee (p2)",GRI; SASB; TCFD; SDGs,yes,3,3,
CN028,GCL 2024.pdf,GCL,not stated,2024,Energy & Utilities,"The Board of Directors of GCL Technology guarantees that this report does not contain any false records, misleading statements, or significant omissions. Data Sources This report is the 12th Environmental, Social, and Governance (ESG) Report published by GCL Technology Holdings Limited (hereinafter referred to as ""GCL Technology"", ""the Group"", or ""we""), formerly named as GCL-Poly Energy Holdings Limited.",not stated,205 employees (p27),GRI,yes,3,3,
CN029,GDS 2024.pdf,"and cooperation, happy reading! Giovanni Cariolato President & CEO Global Display Solutions Letter to Stakeholders 7 6 _",not stated,2024,Technology & Internet,"Today, in a global context marked by strong changes, our commitment to a sustainable growth model is strengthened, with the strategic integration of environmental, social and governance factors. Sustainability is no longer just a responsibility but is a guiding criterion in our industrial and commercial decisions, in the design of products, in the selection of suppliers and in the management of our people.",not stated,not stated,not stated,yes,3,3,
CN030,GEM Co..pdf,GEM Co.,not stated,2024,Renewables & Clean Tech,"WeChat Official Account Eco Recycling Digital Platform 100% printed with recycled paper V202504 CONTENTS 01 About GEM 02 Sustainable Development Governance 03 Governance Corporate Governance Anti-Corruption and Anti-Bribery Anti-unfair Competition Due Diligence Tax Transparency Compliance Management Internal Control and Risk Management 04 Environment Environmental Management Pollutant Emissions Waste Management Water Resource Utilization Energy Utilization Circular Economy Addressing Climate Change Biodiversity Protection 05 Social About the Report  03 Chairman’s Message Annual ESG Highlights  05  07 Corporate Overview Corporate Business Honors and Recognition 11 15 16 Sustainable Development Goals Sustainable Development Governance Structure Sustainable Development Management Measures Dual Materiality Analysis Stakeholder Communication 19 20 21 21 25 33 37 40 40 44 45 46 49 54 57 58 59 62 66 71 75 88 94 99 102 104 109 Employees Innovation-Driven Development Supply Chain Management Product and Service Quality Data Security and Customer Privacy Protection Safety Management Rural Revitalization and Community Support Outlook Appendices 114 115 Key Performance Tables Third-Party Assurance Report GHG Verification Report Benchmark Index Table Company Name and Abbreviation Reference Reader Feedback Form 115 123 127 129 137 138 The Report is designed to objectively and fairly illustrate the environmental, social and governance (ESG) performance of GEM Co., Ltd. For corporate governance, it is recommended that this document be read in conjunction with the 2024 Annual Report of GEM Co., Ltd.",state-owned,"109
Employees (p2)",GRI; ISSB; UNGC; SDGs,yes,3,3,
CN031,Glodon 2024.pdf,Glodon,not stated,2024,Technology & Internet,"Publication This is Glodon’s sixth public annual report, detailing our sustainability initiatives.",not stated,"1446
employees (p21)",GRI; SDGs,yes,3,3,
CN032,Gree 2024.pdf,Gree,not stated,2024,Manufacturing & Electronics,"1 2024 Environmental, Social, and Governance Report Introduction Compliance Governance, Upholding Integrity and Sincerity Green Development, Leading with Low Carbon Conclusion Innovation- Driven, Quality-Base Development People- Centered Approach, Creating Value for Society 2 2024 Environmental, Social, and Governance Report Introduction Compliance Governance, Upholding Integrity and Sincerity Green Development, Leading with Low Carbon Conclusion Innovation- Driven, Quality-Base Development People- Centered Approach, Creating Value for Society 3 2024 Environmental, Social, and Governance Report Introduction Compliance Governance, Upholding Integrity and Sincerity Green Development, Leading with Low Carbon Conclusion Innovation- Driven, Quality-Base Development People- Centered Approach, Creating Value for Society Overview Introduction This is the second Environmental, Social, and Governance Report published by Gree Electric Appliances Inc. of Zhuhai” is referred to as “Gree Electric”, “GREE”, “the Company” or “we” in this Report.",not stated,not stated,GRI; SDGs,yes,3,3,
CN033,Guangdong Investment Limited 2024.pdf,Guangdong Investment Limited,not stated,2024,Energy & Utilities,not stated,state-owned,not stated,SDGs,yes,3,3,
CN034,Haier 2024.pdf,"Jan 1 – Dec 31, 2024",not stated,2024,Manufacturing & Electronics,"For example, we have partnered with several energy providers and integrated our hOn platform with their 3 Sustainability Report 2024 OPERATIONS PEOPLE RESPONSIBLE DATA SMARTABILITY OUR GROUP systems, giving users full control over their consumption and costs. This reduction is a testament to the success of our ongoing energy efficiency initiatives and our increased reliance on renewable energy sources.",not stated,500 employees (p11),not stated,yes,3,3,
CN035,Hang Seng Bank 2024.pdf,Stock Codes: 11 (HKD counter) and 80011 (RMB counter),not stated,2024,Financial Services,"Our ESG strategy is built on six implementation pillars, designed with reference to the principles of the United Nations’ Sustainable Development Goals (‘SDGs’).",not stated,not stated,GRI; SDGs,yes,3,3,
